"ID","answered_all","Duration..in.seconds.","RecordedDate","UserLanguage","Dem_age","Dem_gender","Dem_edu","Dem_edu_mom","Dem_employment","Country","Dem_Expat","Dem_state","Dem_maritalstatus","Dem_dependents","Dem_riskgroup","Dem_isolation","Dem_isolation_adults","Dem_isolation_kids","AD_gain","AD_loss","AD_check","Scale_PSS10_UCLA_1","Scale_PSS10_UCLA_2","Scale_PSS10_UCLA_3","Scale_PSS10_UCLA_4","Scale_PSS10_UCLA_5","Scale_PSS10_UCLA_6","Scale_PSS10_UCLA_7","Scale_PSS10_UCLA_8","Scale_PSS10_UCLA_9","Scale_PSS10_UCLA_10","Scale_SLON_1","Scale_SLON_2","Scale_SLON_3","OECD_people_1","OECD_people_2","OECD_insititutions_1","OECD_insititutions_2","OECD_insititutions_3","OECD_insititutions_4","OECD_insititutions_5","OECD_insititutions_6","Corona_concerns_1","Corona_concerns_2","Corona_concerns_3","Corona_concerns_4","Corona_concerns_5","Trust_countrymeasure","Compliance_1","Compliance_2","Compliance_3","Compliance_4","Compliance_5","Compliance_6","born_92","experience_war","experience_war_TXT","war_injury","loss_during_war","time_spent_in_war","time_spent_in_war_TXT","Scale_UCLA_TRI_1","Scale_UCLA_TRI_2","Scale_UCLA_TRI_3","Scale_UCLA_TRI_4","PS_PTSD_1","PS_PTSD_2","PS_PTSD_3","PS_PTSD_4","PS_PTSD_5","BFF_15_1","BFF_15_2","BFF_15_3","BFF_15_4","BFF_15_5","BFF_15_6","BFF_15_7","BFF_15_8","BFF_15_9","BFF_15_10","BFF_15_11","BFF_15_12","BFF_15_13","BFF_15_14","BFF_15_15","Expl_Distress_1","Expl_Distress_2","Expl_Distress_3","Expl_Distress_4","Expl_Distress_5","Expl_Distress_6","Expl_Distress_7","Expl_Distress_8","Expl_Distress_9","Expl_Distress_10","Expl_Distress_11","Expl_Distress_12","Expl_Distress_13","Expl_Distress_14","Expl_Distress_15","Expl_Distress_16","Expl_Distress_17","Expl_Distress_18","Expl_Distress_19","Expl_Distress_20","Expl_Distress_21","Expl_Distress_22","Expl_Distress_23","Expl_Distress_24","Expl_Distress_txt","SPS_1","SPS_2","SPS_3","SPS_4","SPS_5","SPS_6","SPS_7","SPS_8","SPS_9","SPS_10","Expl_Coping_1","Expl_Coping_2","Expl_Coping_3","Expl_Coping_4","Expl_Coping_5","Expl_Coping_6","Expl_Coping_7","Expl_Coping_8","Expl_Coping_9","Expl_Coping_10","Expl_Coping_11","Expl_Coping_12","Expl_Coping_13","Expl_Coping_14","Expl_Coping_15","Expl_Coping_16","Expl_coping_txt","Expl_media_1","Expl_media_2","Expl_media_3","Expl_media_4","Expl_media_5","Expl_media_6","Final_open","PSS10_avg","SLON3_avg","neu","ext","ope","agr","con","SPS_avg","Scale_UCLA_TRI_avg"
"124996","Yes","2741","2020-03-26 14:32:22","DA","58","Male","Some College, short continuing education or equivalent","Some College or equivalent","Full time employed","Denmark","yes","Frederiksberg","Married/cohabiting","0","No","Life carries on with minor changes","1","0","� If Program B is adopted, there is 1/3 probability that 600 people will be saved, and 2/3 probability that no people will be saved","NA","No","3","1","2","5","3","1","5","5","4","1","1","1","1","7","8","10","9","10","10","7","10","2","3","2","2","1","5","6","5","5","2","3","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","5","6","6","1","5","5","5","6","5","5","2","3","5","1","4","2","1","1","5","2","2","99","5","4","2","6","5","2","2","2","2","2","5","6","2","2","3","NA","5","5","3","6","5","5","3","6","5","4","5","4","6","3","6","5","1","1","5","2","1","2","2","5","1","5","NA","5","5","2","2","3","1","Det giver utryghed generelt at horer journalisternes insinuerende sporgsmal. Journaliser opstiller skrakscenarier og stiller sporgsmal i forsog pa at underbygge disse scenarier. Jeg kan marke pa mig selv, at jeg har tendens til at opfatte svarene fra politikere og embedsmand som forsog pa at skjule eller underspille disse skrakscenarier, hvorved jeg glemmer at horer dels hvad de netop har sagt om en given ting eller hvad det er de egentligt svarer pa et sporgsmal.  Flere journalister benytter ogsa en bevidst (forhabentligt er den bevidst ellers er de jo direkte uintilligente) sporgeteknik, hvor de stiller et sporgsmal, hvortil de formentligt godt kender svaret, dette svar undlader de sa bevidst at tage til efterretning, de valger i stedet at horer svaret med en mindre nuance forskel (men med relativt stor betydnings forskel) og ud fra dette stille et konkluderende sporgsmal, som kun vanskeligt kan besvares uden at kompromitere det oprindelige svar. Dette giver for mig indirekte en folelse af at Politikerene eller Embedsmandene ikke har styr pa eller kontrol over det de foretager sig. Forst hvis jeg efterfolgende gennemtanker hvad jer har hort kan jeg vende tilbage og forsta hvad der egentligt blev sagt og ikke hvad en given journalist insinuere.   Jeg oplever ofte at man i samtaler med kollegaer eller familiemedlemmer kan horer at de er usikre fordi de har �hort� hvad journalisterne insinuerede og ikke hvad der egentligt er blevet sagt.","1.8","1","2","6","5","3.666667","3.666667","4.7","NA"
"124997","No","2026","2020-03-26 14:20:28","DA","56","Female","Some College, short continuing education or equivalent","College degree","Self-employed","Denmark","yes","Herning","Divorced/widowed","0","No","Life carries on with minor changes","NA","NA","� If Program A is adopted, 200 people will be saved.","NA","No","1","2","1","5","4","1","5","5","1","1","1","1","3","9","10","8","10","7","8","10","8","2","2","2","3","3","5","6","6","5","1","5","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","5","2","5","6","4","4","3","2","6","2","5","5","6","4","1","99","4","1","2","99","99","99","4","1","1","4","2","99","1","1","1","1","2","1","1","1","1","NA","6","4","3","3","6","6","6","6","6","6","5","1","6","5","4","1","6","6","5","1","1","4","5","6","6","6","NA","6","1","6","1","1","3","NA","1.2","1.666667","1.333333","2.666667","3.666667","4.333333","4.333333","5.2","NA"
"124998","Yes","1256","2020-03-26 14:07:35","DA","59","Female","College degree, bachelor, master","Up to 12 years of school","Part time employed","Denmark","yes","Arhus","Single","1","No","Life carries on with minor changes","1","0","� If Program B is adopted, there is 1/3 probability that 600 people will be saved, and 2/3 probability that no people will be saved","NA","No","2","1","1","5","3","1","5","5","2","1","1","1","1","8","10","7","8","8","9","9","9","2","2","2","5","6","4","6","6","5","2","5","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","5","4","5","4","5","5","6","4","4","5","4","4","5","2","1","1","1","1","4","1","1","99","6","1","3","2","6","1","1","1","1","1","1","1","1","4","2","Danmark er et fantastisk velfungerende land - jeg er taknemmelig for at hore til her og ikke som en del af familien, der bor i Brasilien, hvor der er kaos og stor fare for borgerne uden lederskab fra regeringen","5","5","5","5","5","5","5","5","5","5","5","4","4","4","4","5","1","1","4","4","4","5","4","5","1","5","Jeg har ikke noget ubehag ved corona-situationen","4","4","4","4","4","4","Jeg er hjemsendt fra arbejde med lon her de forste 2 uger. Jeg tager i min kolonihave hver dag og arbejder, bygger, rydder op mv. Solen skinner. Det er forar. Min teenager flipper ikke ud over at vare groundet fra efterskolen. Jeg kender kun 1, der er syg (i Berlin) indtil videre.","1.4","1","2.333333","4","5.333333","4","4","5","NA"
"124999","No","492","2020-03-27 13:55:41","DA","43","Female","Up to 12 years of school","Up to 12 years of school","Full time employed","Denmark","yes","Odsherred","Married/cohabiting","2","No","Life carries on with minor changes","NA","NA","NA","� If Program C is adopted 400 people will die.","No","2","2","2","5","4","1","4","4","1","1","1","1","3","8","10","10","10","10","10","10","10","5","6","5","6","6","9","6","6","6","1","5","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","2","6","5","5","2","4","2","5","1","6","6","6","5","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1.6","1.666667","2.666667","5","3.666667","6","4.666667","NA","NA"
"125000","No","1225","2020-03-27 14:07:23","DA","61","Female","Up to 12 years of school","None","Part time employed","Denmark","yes","Aabenraa","Married/cohabiting","1","No","Life carries on with minor changes","3","0","NA","� If Program C is adopted 400 people will die.","No","2","3","3","4","3","3","4","4","2","2","3","3","3","8","9","9","10","10","9","9","10","5","5","5","6","6","5","6","6","5","2","5","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","5","4","3","4","NA","NA","6","5","2","3","NA","4","3","5","2","1","2","2","3","6","1","4","99","5","3","6","6","4","2","4","4","4","3","6","2","2","6","4","NA","6","6","5","6","6","5","6","6","4","6","5","4","3","4","4","5","1","1","5","5","4","5","3","5","2","5","NA","6","6","2","3","6","5","NA","2.4","3","4.333333","3.5","5.5","4","4.333333","5.6","NA"
"125001","Yes","793","2020-03-26 13:58:49","DA","21","Female","Up to 12 years of school","Up to 12 years of school","Student","Denmark","yes","Aarhus","Single","0","Yes","Isolated","2","0","� If Program A is adopted, 200 people will be saved.","NA","No","3","5","3","3","2","4","5","3","2","3","3","1","3","9","9","10","10","10","10","10","10","5","5","2","5","5","5","6","5","6","5","2","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","4","5","6","6","3","5","5","5","2","4","5","6","3","5","1","99","99","2","1","5","1","4","99","6","2","6","6","2","6","5","3","6","2","5","2","2","6","1","NA","6","6","6","6","6","6","6","6","6","6","6","6","6","1","1","5","1","1","6","5","1","6","5","6","1","6","NA","6","3","1","2","2","5","NA","3.1","2.333333","3.666667","5.333333","5","4.666667","5","6","NA"
"125002","No","1235","2020-03-26 14:05:39","DA","46","Female","Up to 12 years of school","None","Not employed","Denmark","yes","6000","Single","0","No","Isolated","0","0","NA","NA","NA","2","3","2","5","4","2","4","4","3","1","2","1","1","7","7","6","4","7","5","5","7","1","3","3","4","4","5","5","5","5","2","4","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","5","5","5","4","5","5","5","1","4","5","5","5","5","2","4","99","5","4","4","2","3","99","5","5","5","5","4","2","5","4","4","3","99","5","5","4","2","NA","5","5","4","5","4","4","4","5","4","5","5","2","5","3","5","3","2","2","4","5","5","5","4","5","2","4","NA","5","3","4","3","5","4","Fordybelse i de nare ting.","2","1.333333","1.333333","4.333333","5","5","4","4.5","NA"
"125003","Yes","1288","2020-03-26 14:06:29","DA","36","Female","College degree, bachelor, master","College degree","Part time employed","Denmark","yes","Svendborg","Married/cohabiting","2","Yes","Isolated","1","1","NA","� If Program D is adopted there is 1/3 probability that nobody will die, and 2/3 probability that 600 people will die.","No","2","2","4","3","3","4","3","3","2","3","2","1","2","7","9","3","9","8","9","10","8","5","4","4","5","5","5","6","6","6","2","3","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","3","3","5","5","6","6","5","4","3","4","4","5","2","4","3","6","3","2","4","2","1","2","3","3","4","4","4","3","4","2","2","1","4","1","4","1","4","1","NA","6","5","6","6","6","6","6","6","6","6","5","3","5","2","2","4","6","1","6","3","2","5","2","5","1","4","NA","5","5","4","4","5","3","NA","2.9","1.666667","3.333333","3.666667","5","4","4.666667","5.9","NA"
"125004","No","1470","2020-03-26 14:08:55","DA","64","Female","Some College, short continuing education or equivalent","None","Retired","Denmark","yes","Aalborg","Married/cohabiting","0","No","Life carries on with minor changes","2","0","� If Program A is adopted, 200 people will be saved.","NA","No","2","3","3","5","4","2","4","4","1","1","1","1","2","9","10","7","8","9","9","9","9","3","4","2","5","6","5","5","6","6","2","5","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","4","3","3","5","4","3","5","3","1","6","6","5","4","5","99","99","99","99","2","2","1","2","99","6","2","4","4","4","3","99","1","2","2","2","5","2","5","1","NA","6","6","6","6","6","6","6","6","6","6","5","5","3","1","2","5","2","1","3","5","5","5","5","5","1","5","NA","1","6","NA","1","NA","5","NA","1.9","1.333333","4","3.666667","3.666667","6","4.333333","6","NA"
"125005","Yes","1353","2020-03-26 14:06:08","DA","34","Female","Some College, short continuing education or equivalent","Some College or equivalent","Full time employed","Denmark","yes","Kobenhavn","Married/cohabiting","1","Not sure","Life carries on with minor changes","1","1","NA","� If Program C is adopted 400 people will die.","No","3","2","3","4","3","4","4","4","3","1","1","1","3","6","8","3","5","5","6","6","6","4","5","4","5","5","6","5","4","4","3","3","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","4","3","5","5","3","4","4","4","4","5","5","5","3","4","4","5","2","2","2","5","1","2","3","5","3","4","3","5","4","3","2","3","2","4","2","2","4","2","NA","5","5","4","5","5","5","5","5","5","5","4","5","6","5","5","4","2","2","5","4","5","3","5","4","1","4","NA","3","2","2","3","3","3","NA","2.5","1.666667","4","4.666667","4","4.333333","4.333333","4.9","NA"
